Images,Text,label,context
Hateful_338.jpg,রানু মন্ডল নিজেকে শেষ করে দিলেন। ,1,Personal 
Hateful_148.jpg,"এদিকে রুপার বুকে তিল আছে, এটা আমার ভাইয়া কিভাবে জানতে পারলো, ভাবতে থাকা হিমু। ",1,Personal 
Hateful_935.jpg,"তাদের পরিকল্পনা ছিল, নিজেদের ভিডিও করে পর্ণগ্রাফিতে ছেড়ে টাকা ইনকাম। ",1,Personal 
Hateful_195.jpg,অনেকদিন পর জেলে যাচ্ছি তাই পুলিশের সাথে সেলফি। ,1,Personal 
Hateful_115.jpg,নায়ককে মারার জন্য অনেক গুন্ডা পাঠায় তখন গুন্ডা আর নায়ক। ,1,Personal 
Hateful_1323.jpg,"পলাশীর যুদ্ধ শেষে মীরজাফর, আপনার সাথে একটু বেইমানি করছি, কিছু মনে কইরেন না।",1,Geopolitical
Hateful_1703.jpg,"করিডোর, অবকাঠামো সব ভারতের, চুক্তি অনুযায়ী আমরা কাঠালের বিচিগুলো পাবো তো? ",1,Geopolitical
Neutral_1009.jpg,বাবা বলোতো বেনানা শব্দের অর্থ কি? যার কোন নানা নাই তাকেই বেনানা বলে। ,0,Neutral 
Neutral_724.jpg,ভাই ভাবীকে নিয়ে আসেন নি? না স্যার! ও প্রেগন্যান্ট। ,0,Neutral 
Hateful_1092.jpg,এই মেয়ের সাহস দেখলে অবাক হয়ে যাবেন। ,1,Personal 
Neutral_725.jpg,"রিলেশনটা কতো দিনের সেটা বড়ো বিষয় নয়, তার কাছে তোমার গুরুত্ব কতোটা সেটাই বড়ো বিষয়। ",0,Neutral 
Neutral_203.jpg,"তুই আর আমি তো একই, দুইজনেই গান গাই। ",0,Neutral 
Hateful_435.jpg,দালালের কাছ থেকে সিরিয়াল কিনে পরীক্ষা। ,1,Personal 
Neutral_1652.jpg,চোরাই বিয়া খাওয়ার সময় যখন দুই পক্ষের লোক আপনাদের  দিকে আসতে থাকে। ,0,Neutral 
Hateful_978.jpg,আনুশকা দিহান ইস্যু নিয়ে বাঘের গর্জন দিলেন বেনজির আহমেদ আইজিপি। ,1,Personal 
Neutral_1115.jpg,এখনকার দিনে ৭০% মেয়েরা এভাবে সেলফি তোলে। ,0,Neutral 
Hateful_2272.jpg,ইশ! আবার ইংরেজী মারাও ?  ওয়ান টু তে খালাস কইরা দিমু।,1,Personal 
Neutral_447.jpg,"ছোট বাই এর এই অবস্থা দেখে আমি, যেমন কর্ম তেমন ফল। ",0,Neutral 
Hateful_1409.jpg,এখানে যতœসহকারে এক্সদের চাবকে সোঁজা করে দেয়া হয়। ,1,Personal 
Hateful_2072.jpg,"কি কইতাম, অমানুষের বাচ্চাগরে। কি আর বলা যায় এই অমানুষের বাচ্চাগোরে?",1,Personal 
Neutral_1340.jpg,যখন দেখি চাচাতো ভাই আমার সর্বনাশ করতে যেয়ে আরো উল্টা সে-ই অপমানিত হচ্ছে। ,0,Neutral 
Neutral_718.jpg,"আরে চলবে চলবে, যা আনছো দেখাও তারাতারি। ",0,Neutral 
Neutral_1248.jpg,"কোনো উপায় না দেখে বাড়িতে যখন বলি, আব্বু আমি বিয়ে করতে চাই । ",0,Neutral 
Hateful_414.jpg,"রাগ উঠলে মাথা ঠিক থাকে না, মাথাটা একদম গরম হইয়া যায়। ",1,Personal 
Hateful_1636.jpg,আবার ভারতীয় পতাকার শাড়ি পড়ে হাসিনা বাংলাদেশের স্বাধীনতা দিবসের রাষ্ট্রীয় অনুষ্ঠানে। ,1,Geopolitical
Neutral_1753.jpg,"এই,আমার জুতাটা সুন্দর হইসে না? বসুন্ধরা সিটি থেকে কিনেছি। ",0,Neutral 
Hateful_1936.jpg,থলের বিড়াল বেরিয়ে আসা শুরু করলেই হায়নারা ক্রসফায়ার নাটক শুরু করে। ,1,Geopolitical
Neutral_1232.jpg,অনেকদিন পর স্কুলে আসায় একটু ভাব নিয়ে ঢুকতেছি। ,0,Neutral 
Neutral_1246.jpg,"তেমন কিছু না, শুক্রবারে জুম্মার পর আল্লাহর কাছে মনেপ্রাণে দোয়া করছি যাতে আমার তাড়াতাড়ি বিয়ে হয়। ",0,Neutral 
Neutral_423.jpg,আজকে আমি পড়াব কি জানো? বাংলা সিনেমার ইতিকথা। ,0,Neutral 
Neutral_1011.jpg,৫ বছর আগের জীবনানন্দ দাস চত্বর আর এখনকার জীবনানন্দদাস চত্বর। ,0,Neutral 
Neutral_1715.jpg,ভালবাসা দিবি কিনা বল? কেউ আমারে বাঁচা। ,0,Neutral 
Hateful_1650.jpg,চিনে রাখুন এই মালাউনটি কে। এই মালাউন হলো দেশদ্রোহী। ,1,Religious
Hateful_796.jpg,"ধরা খাইলে জামিন নাই, ধরা খাইলে গুষ্টি মারা সারা।  ",1,Personal 
Hateful_2209.jpg,তরে মাইরা আমি ঘুমামু।  তোরে না মাইরা আমি ঘুমামু না। ,1,Personal 
Neutral_257.jpg,"এদিকে কোমা থেকে উঠে যখন জীনকে দেখে বলি, আরে হোয়াটস আপ ব্রো! আমার সাহস দেখে বেচারা জীন। ",0,Neutral 
Neutral_992.jpg,"ঈদ শপিং নিয়ে মাথা ব্যাথা নেই, তাহলে আপনি বড় হয়ে গেছেন। ",0,Neutral 
Hateful_2091.jpg,"শিবির রগ কাটে আর ছাত্রলীগ মাথা কাটে, পুলিশ সেই মাথা খুঁজে বেড়ায়। ",1,Geopolitical
Hateful_2358.jpg,"চুদে চাটনি, বেকার খাটনি। ",1,Personal 
Hateful_718.jpg,গ্যাস বিক্রি করতে রাজী হইনি বলে ২০০১ এ ক্ষমতায় আসতে পারিনি। ,1,Political
Hateful_1684.jpg,"তুই যদি আমার হইতি, আমি হইতাম তোর। না বানাইতাম যদ্ধাপরাধী, না বানাইতাম চোর।",1,Geopolitical
Hateful_1717.jpg,"বৃষ্টিতে ধুয়ে গেছে রক্তের লাল, মুছেনি তো হৃদয়ের দগদগে ক্ষত।",1,Religious
Hateful_1105.jpg,"কি সাংঘাতিক মেয়েরে বাবা, পাশে বসে ঘাড়ে হাত দিতে বলে। ",1,Personal 
Hateful_1950.jpg,মাওলানা নিজামীল রিভিউ খরিজের আগে ভারতীয় হাইকমিশনারের বৈঠক প্রধান বিচারপতির সাথে। ফাঁসির পর হাসিনাকে আমন্ত্রণ। ,1,Geopolitical
Neutral_1727.jpg,এই কাঁটা ঘায়ে চিলি সস দেবে না। ,0,Neutral 
Neutral_826.jpg,সাব্বির নামের ছেলেদের জন্মই হয়েছে কাজের মেয়েদের সাথে প্রেম করার জন্য। ,0,Neutral 
Hateful_2155.jpg,যেীন জাগরনের এইডস সরকারের অবস্থা দেখুন। রাস্তার মধ্যে তেতুল লীলায় মেতে উঠেছে। ,1,Personal 
Neutral_496.jpg,"তিতলি আমাকে একবার দে, আমিও একটু উড়াই। ",0,Neutral 
Hateful_1998.jpg,দেশের বাজারে সয়লাব ভারতীয় ভোজাল খাবার অবাধে চলছে। বাংলাদেশে এসব পণ্য নিষিদ্ধ করতে হবে। ,1,Geopolitical
Neutral_1747.jpg,গ্রিন টি টা কোন কেঁটলিতে পাবো ?,0,Neutral 
Neutral_1513.jpg,পরীক্ষার সময় প্রশ্নের উত্তর না লিখতে পারার জন্য মোহর কে উত্তর কানে কানে বলে দিয়ে সাহায্য করছে শঙ্খ স্যার। ,0,Neutral 
Neutral_232.jpg,ঢাকা থেকে চট্টগ্রামে যাবেন মাত্র ৫৫ মিনিটে।,0,Neutral 
Neutral_748.jpg,"প্রিয়! হয় ভালোবাসো না হয় ঘৃণা করো, মাঝামাঝি রেখো না। ",0,Neutral 
Hateful_61.jpg,বিড়ালের গলায় ঘন্টা বাধার প্রস্তাব দেয়া ইঁদুরকেই যখন বিড়ালের গলায় ঘন্টা বাধতে বল হয়। ভাই আমার এত সাহস নাই। ,1,Personal 
Neutral_617.jpg,"জানি সব ধ্বংস হয়ে যাবে, তাও একটা শেষ চেষ্টা করবো। ",0,Neutral 
Hateful_1000.jpg,"একি ভয়াবহ সত্য ফাস হলো, আদালতে কাদতে কাদতে একি বলল দিহান? ",1,Personal 
Neutral_223.jpg,বিয়েতে ১ লক্ষ টাকা যৌতুকে রাজি হবার পর যখন শালী জুতা চুরি করে ৫০ হাজার টাকা আবদার করে। ,0,Neutral 
Hateful_1956.jpg,যশোরে আওয়ামীলীগ নেতার চাপে দেড় শতাধিক হিন্দু পরিবারের দেশত্যাগ। ,1,Geopolitical
Neutral_136.jpg,"আপনারা দুই ভাই নাকি? হ্যাঁ, কিন্ত আপনি জানলেন কীভাবে? ",0,Neutral 
Neutral_511.jpg,"আজকে জুম্মার দিন বলে একটা পিক তুল্লাম ফেসবুক এ  জুম্মা মোবারক লিখে আপলোড দিব বলে।, ",0,Neutral 
Neutral_1464.jpg,"পাত্র চাই উচ্চতা ৫.৬ ইঞ্চি বেকার হলেও চলবে চাকরি, আব্বাই দিব। ",0,Neutral 
Neutral_1394.jpg,"আমি,আমার পানি খাওয়ার মগ ও বাসায় আসা আত্মীয়। ",0,Neutral 
Hateful_802.jpg,"পুলিশ একদিনে ১৮০০ জঙ্গি ধরে, কিন্তু ৬ জন জঙ্গিকে ধরতে আর্মি প্রয়োজন হয়। ",1,Personal 
Neutral_1422.jpg,তেমন কিছু না মসজিদে মিলাদের বিরিয়ানি দিবে তাই দৌড়ে যাচ্ছে । ,0,Neutral 
Neutral_1132.jpg,"মেয়েরা অন্যান্য সময়, মেয়েরা ফুসকা খাওয়ার সময়। ",0,Neutral 
Neutral_694.jpg,টি দিয়ে যাদের নাম শুরু হয় তারা টাকা ছাড়া কিছুই বোঝে না। ,0,Neutral 
Hateful_446.jpg,কলকাতায় কালীপূজা উদ্বোধন করলেন সাকিব। যশোরে সেলফি তুলতে চাওয়ায় ভক্তের ফোন ছুড়ে ফেললেন। ,1,Religious
Hateful_632.jpg,ভারত আমাদের শত্রু বুঝতে পারাই বড় অর্জন। ,1,Geopolitical
Neutral_570.jpg,১০ কি.মি. হেটে বাবার বিরুদ্ধে অভিযোগ জানাতে থানায় মেয়ে। ,0,Neutral 
Neutral_682.jpg,যাদের নাম টি বা এন দিয়ে শুরু হয় তাদের এক্সের সংখ্যা প্রচুর।,0,Neutral 
Hateful_217.jpg,"একদিন আমি বাসের হেল্পার হবো, তোমার বাসার পাশ দিয়ে যাওয়ার সময় চিল্লাইয়া বলবো, ওস্তাদ সাবধান, ডাইনে বেঈমান। ",1,Personal 
Hateful_2309.jpg,তুই শালা জাতীয় বেইমান।  তোরে আমি বিশ^াস করি না শালা। ,1,Personal 
Hateful_566.jpg,"রানু পাগলীর গান এর আওয়াজ সবার কানে পৌছায়, কাস্মীরের মুসলমানদের আওয়াজ কানে পৌছায় না। ",1,Personal 
Hateful_955.jpg,দিহান আনুশকার আসল ঘটনা ফাঁস করল চরমোনাই পীর। ,1,Personal 
Neutral_895.jpg,ভালোবাসার মানুষকে বিয়ে করার জন্য হলেও পড়তে বসুন। ,0,Neutral 
Hateful_788.jpg,"সন্তানরা খোঁজ নেন না, সম্পত্তি লিখে দিলেন কুকুরকে। ",1,Personal 
Hateful_2333.jpg,তুই আমারে চ্যালেঞ্জ করতাছোস?   তোরে আমি কিন্তু দেখাইয়া দিমু। ,1,Personal 
Hateful_2248.jpg,এই শালা তোর বন্ধু কই?   তোর বন্ধুরে আমার সামনে ডেকে আন। ,1,Personal 
Hateful_198.jpg,অবশেষে হেফাজত ইসলামের শাপলা চত্তরে হত্যার সকল প্রমানসহ গোপন তথ্য ফাঁস। ,1,Personal 
Hateful_2032.jpg,যেসব বুদ্ধিজীবীরা খালেদার পক্ষে কথা বলে তারা শুয়োরের বাচ্চা থেকেও খারাপ। ,1,Geopolitical
Neutral_1559.jpg,এইচএসসি পরীক্ষার্থীদের বর্তমান অবস্থা। ,0,Neutral 
Hateful_251.jpg,মিগ-২৯ বিমানকে আমেরিকা এতো ভয় পায় কেন? ,1,Geopolitical
Hateful_1506.jpg,"ভারতের সঙ্গে বন্ধুত্বকে আমরা খুব গুরুত্ব দিয়ে থাকি, গুরুত্ব না দিলে তো আওয়ামীলীগের গোয়া মারা সারা। ",1,Geopolitical
Neutral_1159.jpg,"যখন আমি থাকবো না, কি করবি রে বোকা? ",0,Neutral 
Neutral_474.jpg,"যখন তিনি বলেন যে, বইয়ের সবটুকু পড়ে এসো, খুব উপকার হইল। ",0,Neutral 
Neutral_154.jpg,পাড়ার ক্রিকেটে ছয় মেরে বল হারিয়ে ফেলার পর যখন নতুন বল কিনে দিতে হয়। ,0,Neutral 
Neutral_1693.jpg,হাই! ভুলে গেলে নাকি আমাকে? ,0,Neutral 
Neutral_1995.jpg,"চলো বাবা, আজকে একটা দাওয়াত খেয়ে আসবো, আম্মু পোলাও রোস্ট সবই তো খাইলাম কিন্তু দাওয়াত কই? ",0,Neutral 
Hateful_1018.jpg,আনুশকার মৃত্যুতে মানববন্ধন ৮ দফা দাবি শিক্ষার্থীদের। ,1,Personal 
Hateful_507.jpg,সাকিব আল হাসান কলকাতায় গিয়ে কালীপূজা উদ্বোধন সম্পর্কে ইসলাম কি বলে? ,1,Religious
Hateful_1289.jpg,হিংসুক ভক্তার কাহিনী দেখুন।  সে কিভাবে হিংসা ছড়ায় না দেখলে বিশ^াস করবেন না। ,1,Personal 
Neutral_740.jpg,দোস্ত কপি কর জাস্ট একটু ঘুরায়া লিখিস। ,0,Neutral 
Neutral_1312.jpg,"পাড়ায় যখন নতুন কোন মেয়ে আসে তখন আমি, আমাকে এই মালটার সাথে প্রেম করতেই হবে। ",0,Neutral 
Hateful_1872.jpg,বাংলাদেশি ও রোহিঙ্গাদের গুলি করা উচিৎ। ,1,Geopolitical
Neutral_989.jpg,"এই তুমি দাড়ি রাখো না কেন? দাড়ি রাখলে বয়স বেশি লাগে। তাইলে দাতগুলাও ফেলে দাও, দুধের বাচ্চা লাগবে। ",0,Neutral 
Neutral_1829.jpg,"খায়া দিসে, বাঘ মামা খায়া দিসে খায়া দিসে। ",0,Neutral 
Hateful_598.jpg,"স্বৈরতন্ত্র নিপাত যাক, গণতন্ত্র মুক্তি পাক। ",1,Political
Hateful_1025.jpg,এই সেই বাড়ি যেখানে ধর্ষন হয় আনুশকা। ,1,Personal 
Hateful_863.jpg,"আপনি পারলে আমার নামে মামলা করেন, টকশোতে তুমুল ঝসড়া। রাশেদ ও তুরিন আফরোজের। ",1,Personal 
Neutral_565.jpg,রাতে হালকা শীত লাগলে আমি যেভাবে কাথা টেনে নিয়ে গায় দেই। ,0,Neutral 
Hateful_2394.jpg,জবা কি পারবে হ্যান্ডেল মারতে? ,1,Personal 
Neutral_1721.jpg,"আমি গতকাল মেয়েটিকে বললাম বাসায় পৌছে কল দিতে, মেয়েটার মনে হয় বাসা নাই। ",0,Neutral 
